"vendorProfileImg href","vendorProfileImg src","categoryName","vendorName","vendorAddress","vendorAddress 2","Mobile","whatsappMobile","profileLink","profileLink href","vendorProducts","vendorProducts href","vendorProducts 2","vendorProducts href 2","btn","btn href","btn 2"
"https://profile.etawahonline.in/foodie-cafe-and-restro","https://im.hunt.in/local/Gallery/3087683/s/3087683_0302f.jpg","food home delivery","Foodie Cafe and Restro","Near Arya Kanya Inter College ,","Etawah , Uttar Pradesh","9411xxxxxx","9411xxxxxx","Click to View","https://profile.etawahonline.in/foodie-cafe-and-restro","Veg Dishes","https://profile.etawahonline.in/foodie-cafe-and-restro/products-services/category/Veg-Dishes","","","Call Now","tel:9411438190","Chat"
"https://zirakpur.punjabonline.in/profile/pozo-delight","https://im.hunt.in/local/Gallery/3087464/s/3087464_175a3.jpg","bakeries","Pozo Delight","Saraswati Enclave Dhakoli  ,","Zirakpur , Punjab","9041xxxxxx","9041xxxxxx","Click to View","https://zirakpur.punjabonline.in/profile/pozo-delight","Cake Shop","https://zirakpur.punjabonline.in/profile/pozo-delight/products-services/category/Cake-Shop","","","Call Now","tel:9041221943","Chat"
"https://restaurant.delhionline.in/biryani-by-annie","https://im.hunt.in/local/Gallery/3087280/s/3087280_d1080.jpg","food home delivery","Biryani by Annie","Rohini Sector 2 ,","New Delhi , Delhi","9810xxxxxx","9810xxxxxx","Click to View","https://restaurant.delhionline.in/biryani-by-annie","Chicken Biryani","https://restaurant.delhionline.in/biryani-by-annie/products-services/category/chicken-biryani","","","Call Now","tel:9810112668","Chat"
"https://profile.kanpuronline.in/deepu-chauhan-food-court","https://im.hunt.in/local/Gallery/3087058/s/3087058_3de8b.png","bars and restaurants","Deepu Chauhan Food Court","KANPUR NAGAR ,","Kanpur , Uttar Pradesh","9219xxxxxx","9219xxxxxx","Click to View","https://profile.kanpuronline.in/deepu-chauhan-food-court","South Indian Dishes","https://profile.kanpuronline.in/deepu-chauhan-food-court/products-services/category/South-Indian-Dishes","","","Call Now","tel:9219100741","Chat"
"https://profile.panipatonline.in/hangries","https://im.hunt.in/local/Gallery/3086976/s/3086976_83bd1.jpg","food products","Hangries","Panipat ,","Panipat , Haryana","","","","","A Fine Dine Restaurant","https://profile.panipatonline.in/hangries/products-services/category/A-FINE-DINE-RESTAURANT","","","","",""
"https://profile.sasnagaronline.in/farmers-bakery","https://im.hunt.in/local/Gallery/3086836/s/3086836_da518.png","bakeries","Farmers Bakery","Phase 5 ,","S.A.S. Nagar , Punjab","8219xxxxxx","8219xxxxxx","Click to View","https://profile.sasnagaronline.in/farmers-bakery","Bakery Cakes","https://profile.sasnagaronline.in/farmers-bakery/products-services/category/Bakery-Cakes","","","Call Now","tel:8219919450","Chat"
"https://hotel.salemonline.in/grand-palace-hotel-and-spa","https://im.hunt.in/local/Gallery/3086776/s/3086776_544f7.jpg","resorts","Grand Palace Hotel and Spa","yercaud  ,","Salem , Tamil Nadu","9884xxxxxx","9884xxxxxx","Click to View","https://hotel.salemonline.in/grand-palace-hotel-and-spa","Resorts In Yercaud","https://hotel.salemonline.in/grand-palace-hotel-and-spa/products-services/category/Resorts-in-Yercaud","","","Call Now","tel:9884418617","Chat"
"https://restaurant.hyderabadonline.in/signature-grills","https://im.hunt.in/local/Gallery/3086752/s/3086752_08205.jpg","barbeque restaurant","Signature Grills","Begumpet ,","Hyderabad , Telangana","","","","","Vegetarian Restaurants","https://restaurant.hyderabadonline.in/signature-grills/products-services/category/Vegetarian-Restaurants","","","","",""
"https://restaurant.buxaronline.in/new-chahat-restaurant","https://im.hunt.in/local/Gallery/3086747/s/3086747_9044e.jpg","bars and restaurants","New Chahat Restaurant","Dalsagar ,","Buxar , Bihar","9199xxxxxx","9199xxxxxx","Click to View","https://restaurant.buxaronline.in/new-chahat-restaurant","Food & Beverage","https://restaurant.buxaronline.in/new-chahat-restaurant/products-services/category/Food-Beverage","","","Call Now","tel:9199942422","Chat"
"https://profile.chandigarhonline.in/flavours-by-shivani","https://im.hunt.in/local/Gallery/3086582/s/3086582_cfec7.jpg","bakeries","Flavours by Shivani","Sector 49 Chandigarh ,","Chandigarh , Chandigarh","9815xxxxxx","9815xxxxxx","Click to View","https://profile.chandigarhonline.in/flavours-by-shivani","Birthday Cakes","https://profile.chandigarhonline.in/flavours-by-shivani/Our-Services/category/Birthday-Cakes","","","Call Now","tel:9815002865","Chat"
"https://profile.varanasionline.in/cake-corner","https://im.hunt.in/local/Gallery/3086460/s/3086460_989ee.jpg","bakers and confectionaries product","Cake Corner","D L W Varanasi ,","Varanasi , Uttar Pradesh","","","","","Choclate Cake","https://profile.varanasionline.in/cake-corner/products-services/category/Choclate-Cake","","","","",""
"https://sriperumbudur.tamilnaduonline.in/profile/purple-pastries","https://im.hunt.in/local/Gallery/3086247/s/3086247_86a98.jpg","bakers and confectionaries product","Purple Pastries","Sriperumbudur  ,","Sriperumbudur , Tamil Nadu","9790xxxxxx","9790xxxxxx","Click to View","https://sriperumbudur.tamilnaduonline.in/profile/purple-pastries","Flavoured Cakes","https://sriperumbudur.tamilnaduonline.in/profile/purple-pastries/products-services/category/Flavoured-Cakes","","","Call Now","tel:9790207822","Chat"
"https://profile.indoreonline.in/cakes-to-indore","https://im.hunt.in/local/Gallery/3085700/s/3085700_b5563.png","bakers and confectionaries product","Cakes To Indore","Indore Manik Bagh road ,","Indore , Madhya Pradesh","8370xxxxxx","8370xxxxxx","Click to View","https://profile.indoreonline.in/cakes-to-indore","Chocolate Cake","https://profile.indoreonline.in/cakes-to-indore/products-services/category/Chocolate-Cake","","","Call Now","tel:8370006710","Chat"
"https://profile.balasoreonline.in/niladri_inn","https://im.hunt.in/local/Gallery/3085560/s/3085560_a6a0a.jpg","luxury hotels","Niladri Inn","At-Ganeswerpur po- januganj ps-bampada  dist-Balasore ,","Balasore , Odisha","9438xxxxxx","","Click to View","https://profile.balasoreonline.in/niladri_inn","3 Star Hotel,","https://profile.balasoreonline.in/niladri_inn/products-services/category/3-star-hotel","A/c Room","https://profile.balasoreonline.in/niladri_inn/products-services/category/A-C-Room","Call Now","tel:9438287706",""
"https://hotel.kanpuronline.in/hotel-mandakini-royale","https://im.hunt.in/local/Gallery/3084722/s/3084722_df007.jpg","ac banquet halls","Hotel Mandakini Royale","Juhi Colony ,","Kanpur , Uttar Pradesh","9235xxxxxx","9235xxxxxx","Click to View","https://hotel.kanpuronline.in/hotel-mandakini-royale","3 Star Hotel,","https://hotel.kanpuronline.in/hotel-mandakini-royale/products-services/category/3-star-hotel","Banquet Hall For Wedding Party","https://hotel.kanpuronline.in/hotel-mandakini-royale/products-services/category/Banquet-Hall-For-Wedding-Party","Call Now","tel:9235605005","Chat"
"https://profile.gurugramonline.in/crepefe","https://im.hunt.in/local/Gallery/3084596/s/3084596_34252.jpg","multi cuisine restaurants","Crepe-fe","","Gurugram , Haryana","","","","","Desserts","https://profile.gurugramonline.in/crepefe/products-services/category/Desserts","","","","",""
"https://restaurant.vellorelive.in/sri-jayam-restaurant","https://im.hunt.in/local/Gallery/3084502/s/3084502_36e59.JPG","organic & natural foods","Sri Jayam Restaurant","Kosapet ,","Vellore , Tamil Nadu","9940xxxxxx","9940xxxxxx","Click to View","https://restaurant.vellorelive.in/sri-jayam-restaurant","Fried Rice","https://restaurant.vellorelive.in/sri-jayam-restaurant/Our-Menu/category/Fried-Rice","","","Call Now","tel:9940776607","Chat"
"https://profile.tiruppuronline.in/can-can-tirupur","https://im.hunt.in/local/Gallery/3084471/s/3084471_b160b.jpg","couriers & home delivery services","Can Can","Thiruneelakandapuram ,","Tiruppur , Tamil Nadu","9894xxxxxx","9894xxxxxx","Click to View","https://profile.tiruppuronline.in/can-can-tirupur","","","","","Call Now","tel:9894094014","Chat"
"https://profile.sriganganagaronline.in/euphoria-town-the-cake-shop","https://im.hunt.in/local/Gallery/3084459/s/3084459_23313.jpeg","couriers & home delivery services","Euphoria Town The Cake Shop","Sri Ganganagar ,","Sri Ganganagar , Rajasthan","8233xxxxxx","8233xxxxxx","Click to View","https://profile.sriganganagaronline.in/euphoria-town-the-cake-shop","","","","","Call Now","tel:8233932244","Chat"
"https://profile.bhopalonline.in/the-staple-food","https://im.hunt.in/local/Gallery/3084406/s/3084406_66846.jpg","agricultural waste","The Staple Food","minal residency ,","Bhopal , Madhya Pradesh","8827xxxxxx","8827xxxxxx","Click to View","https://profile.bhopalonline.in/the-staple-food","Food And Restaurant","https://profile.bhopalonline.in/the-staple-food/products-services/category/Food-And-Restaurant","","","Call Now","tel:8827723929","Chat"
"https://profile.kasaragodonline.in/kuchil","https://im.hunt.in/local/Gallery/3084228/s/3084228_e1b8e.jpg","bars and restaurants","Kuchil","Kasaragod ,","Kasaragod , Kerala","","7907xxxxxx","","","Cafe In Kerala","https://profile.kasaragodonline.in/kuchil/products-services/category/Cafe-in-Kerala","","","","","Chat"
"https://restaurant.kozhikodeonline.in/cochin-bakery","https://im.hunt.in/local/Gallery/3084122/s/3084122_c0936.jpg","bakers and confectionaries product","Cochin Bakery","Kozhikode ,","Kozhikode , Kerala","","","","","Birthday Cake","https://restaurant.kozhikodeonline.in/cochin-bakery/products-services/category/Birthday-Cake","","","","",""
"https://restaurant.silcharonline.in/pops-cookhouse","https://im.hunt.in/local/Gallery/3084053/s/3084053_95f0d.jpg","food products","P.O.P.S. Cookhouse","Tarapur ,","Silchar , Assam","8638xxxxxx","8638xxxxxx","Click to View","https://restaurant.silcharonline.in/pops-cookhouse","Fast Food","https://restaurant.silcharonline.in/pops-cookhouse/products-services/category/Fast-Food","","","Call Now","tel:8638064160","Chat"
"https://gundugolanu.andhraonline.in/profile/garuda-food-courts","https://im.hunt.in/local/Gallery/3083900/s/3083900_7c628.png","food home delivery","Garuda Food Courts","Andhra Pradesh ,","Gundugolanu , Andhra Pradesh","9030xxxxxx","9030xxxxxx","Click to View","https://gundugolanu.andhraonline.in/profile/garuda-food-courts","Breakfast Snacks","https://gundugolanu.andhraonline.in/profile/garuda-food-courts/products-services/category/Breakfast-Snacks","","","Call Now","tel:9030222222","Chat"
"https://profile.nashikonline.in/nashik-bakers","https://im.hunt.in/local/Gallery/3083548/s/3083548_fa53f.jpeg","bakers and confectionaries product","Nashik Bakers","dwarka corner ,","Nashik , Maharashtra","9823xxxxxx","9823xxxxxx","Click to View","https://profile.nashikonline.in/nashik-bakers","Anniversary Cakes,","https://profile.nashikonline.in/nashik-bakers/Our-Products/category/anniversary-cakes","Birthday Cakes","https://profile.nashikonline.in/nashik-bakers/Our-Products/category/Birthday-Cakes","Call Now","tel:9823870222","Chat"
"https://profile.rourkelaonline.in/chilika","https://im.hunt.in/local/Gallery/3083434/s/3083434_ad028.JPG","food products","CHILIKA","ROURKELA ,","Rourkela , Odisha","9692xxxxxx","9692xxxxxx","Click to View","https://profile.rourkelaonline.in/chilika","Family Restaurant","https://profile.rourkelaonline.in/chilika/products-services/category/Family-Restaurant","","","Call Now","tel:9692908502","Chat"
"https://hotel.kanpuronline.in/the-gagan-plaza","https://im.hunt.in/local/Gallery/3083299/s/3083299_ff5c1.jpg","ac banquet halls","The Gagan Plaza","Kanpur Cantt ,","Kanpur , Uttar Pradesh","8726xxxxxx","8726xxxxxx","Click to View","https://hotel.kanpuronline.in/the-gagan-plaza","Hotel In Kanpur","https://hotel.kanpuronline.in/the-gagan-plaza/products-services/category/Hotel-in-Kanpur","","","Call Now","tel:8726039098","Chat"
"https://profile.bengaluruonline.in/my-flower-gift-bengaluru","https://im.hunt.in/local/Gallery/3082931/s/3082931_531bc.jpg","couriers & home delivery services","My Flower Gift","Hongasandra, Bangalore ,","Bengaluru , Karnataka","","","","","Combo Offers,","https://profile.bengaluruonline.in/my-flower-gift-bengaluru/products-services/category/Combo-Offers","Online Florist","https://profile.bengaluruonline.in/my-flower-gift-bengaluru/products-services/category/Online-Florist","","",""
"https://goa-velha.goaonline.in/restaurant/the-white-goa","https://im.hunt.in/local/Gallery/3082805/s/3082805_73001.jpg","night clubs","The White Goa","baga ,","Goa Velha , Goa","9825xxxxxx","9825xxxxxx","Click to View","https://goa-velha.goaonline.in/restaurant/the-white-goa","Restaurant And Bar","https://goa-velha.goaonline.in/restaurant/the-white-goa/We-Offer/category/restaurant-and-bar","","","Call Now","tel:9825012560","Chat"
"https://profile.navimumbailive.in/happy-slice","https://im.hunt.in/local/Gallery/3082742/s/3082742_5c593.jpg","food products","Happy Slice","koparkhairane ,","Navi Mumbai , Maharashtra","8452xxxxxx","8452xxxxxx","Click to View","https://profile.navimumbailive.in/happy-slice","Chocolate Shake","https://profile.navimumbailive.in/happy-slice/products-services/category/Chocolate-Shake","","","Call Now","tel:8452910130","Chat"
"https://profile.tinsukiaonline.in/swetas-cakes","https://im.hunt.in/local/Gallery/3082167/s/3082167_057ca.jpg","bakers and confectionaries product","Sweta's Cakes","Bordoloi nagar ,","Tinsukia , Assam","8969xxxxxx","8969xxxxxx","Click to View","https://profile.tinsukiaonline.in/swetas-cakes","Birthday Cake","https://profile.tinsukiaonline.in/swetas-cakes/products-services/category/Birthday-Cake","","","Call Now","tel:8969988796","Chat"
"https://hotel.tinsukiaonline.in/hotel-digbijoy","https://im.hunt.in/local/Gallery/3082125/s/3082125_6aad2.jpg","food products","Hotel Digbijoy","Tinkonia ,","Tinsukia , Assam","9954xxxxxx","9954xxxxxx","Click to View","https://hotel.tinsukiaonline.in/hotel-digbijoy","North Indian Dishes","https://hotel.tinsukiaonline.in/hotel-digbijoy/products-services/category/North-Indian-Dishes","","","Call Now","tel:9954455932","Chat"
"https://restaurant.manalionline.in/tanishq-haveli-cafe-and-restaurant-in-manali","https://im.hunt.in/local/Gallery/3082073/s/3082073_c6aa9.jpg","food products","Tanishq Haveli Cafe and Restaurant In Manali","","Manali , Himachal Pradesh","7206xxxxxx","7206xxxxxx","Click to View","https://restaurant.manalionline.in/tanishq-haveli-cafe-and-restaurant-in-manali","Chinese Menu","https://restaurant.manalionline.in/tanishq-haveli-cafe-and-restaurant-in-manali/products-services/category/Chinese-Menu","","","Call Now","tel:7206855535","Chat"
"https://restaurant.lonionline.in/indian-spice-restaurant","https://im.hunt.in/local/Gallery/3081974/s/3081974_54fe8.jpg","bars and restaurants","Indian Spice Restaurant","Loni ,","Loni , Uttar Pradesh","8383xxxxxx","8383xxxxxx","Click to View","https://restaurant.lonionline.in/indian-spice-restaurant","North Indian Food","https://restaurant.lonionline.in/indian-spice-restaurant/products-services/category/North-Indian-Food","","","Call Now","tel:8383907769","Chat"
"https://hotel.tinsukiaonline.in/kasturi-hotel","https://im.hunt.in/local/Gallery/3081813/s/3081813_1f52e.jpg","luxury hotels","Kasturi Hotel","Tinsukia ,","Tinsukia , Assam","9678xxxxxx","9678xxxxxx","Click to View","https://hotel.tinsukiaonline.in/kasturi-hotel","Biryani","https://hotel.tinsukiaonline.in/kasturi-hotel/products-services/category/Biryani","","","Call Now","tel:9678116831","Chat"
"https://profile.tinsukiaonline.in/pg-food-plaza","https://im.hunt.in/local/Gallery/3081750/s/3081750_7d03d.jpeg","bars and restaurants","PG Food Plaza","GNB Road ,","Tinsukia , Assam","9706xxxxxx","9706xxxxxx","Click to View","https://profile.tinsukiaonline.in/pg-food-plaza","Paneer,","https://profile.tinsukiaonline.in/pg-food-plaza/products-services/category/Paneer","Roti","https://profile.tinsukiaonline.in/pg-food-plaza/products-services/category/Roti","Call Now","tel:9706324542","Chat"
"https://profile.tinsukiaonline.in/pakghar","https://im.hunt.in/local/Gallery/3081746/s/3081746_7d3b9.jpeg","food products","Pakghar","GNB Road ,","Tinsukia , Assam","8486xxxxxx","8486xxxxxx","Click to View","https://profile.tinsukiaonline.in/pakghar","Assamese Cuisine,","https://profile.tinsukiaonline.in/pakghar/products-services/category/Assamese-Cuisine","Chicken Items","https://profile.tinsukiaonline.in/pakghar/products-services/category/Chicken-items","Call Now","tel:8486144773","Chat"
"https://restaurant.tinsukiaonline.in/disang-family-restaurant","https://im.hunt.in/local/Gallery/3081741/s/3081741_cfc3a.jpeg","food products","Disang Family Restaurant","Makum Bypass Road ,","Tinsukia , Assam","9435xxxxxx","9435xxxxxx","Click to View","https://restaurant.tinsukiaonline.in/disang-family-restaurant","Assamese Cuisine","https://restaurant.tinsukiaonline.in/disang-family-restaurant/products-services/category/Assamese-Cuisine","","","Call Now","tel:9435420353","Chat"
"https://profile.tinsukiaonline.in/relax-dhaba","https://im.hunt.in/local/Gallery/3081718/s/3081718_bc9e4.jpeg","bars and restaurants","Relax Dhaba","Tinsukia ,","Tinsukia , Assam","8720xxxxxx","8720xxxxxx","Click to View","https://profile.tinsukiaonline.in/relax-dhaba","Assamese Cuisine","https://profile.tinsukiaonline.in/relax-dhaba/products-services/category/Assamese-Cuisine","","","Call Now","tel:8720412100","Chat"
"https://profile.tinsukiaonline.in/the-biryani-house","https://im.hunt.in/local/Gallery/3081716/s/3081716_18b4b.jpeg","bars and restaurants","The Biryani House","Tinsukia ,","Tinsukia , Assam","8720xxxxxx","8720xxxxxx","Click to View","https://profile.tinsukiaonline.in/the-biryani-house","Biryani","https://profile.tinsukiaonline.in/the-biryani-house/products-services/category/Biryani","","","Call Now","tel:8720915431","Chat"
